id|ville|lat|lng
0|Atlantic City, NJ|39.3642834|-74.4229266
1|Chicago, IL|41.8781136|-87.6297982
2|St Petersburg, FL|27.7676008|-82.64029149999999
3|Dublin,|53.3498053|-6.2603097
4|Asbury Park, NJ|40.2203907|-74.0120817
5|Milwaukee, WI|43.0389025|-87.9064736
6|Washington, D.C.|38.9071923|-77.0368707
7|Las Vegas, NV|36.1699412|-115.1398296
8|Stavanger,|58.9699756|5.7331074
9|Seattle, WA|47.6062095|-122.3320708
10|Manchester|53.4807593|-2.2426305
11|Norfolk, VA|36.8507689|-76.28587259999999
12|Louisville, KY|38.2526647|-85.7584557
13|Malmö, Sweden|55.604981|13.003822
14|New York, NY|40.7127753|-74.0059728
15|Brighton,|40.598019|-111.583187
16|Davis, CA|38.5449065|-121.7405167
17|Port Chester, NY|41.0017643|-73.66568339999999
18|Newtown, NSW|-33.8978149|151.1785003
19|Boston, MA|42.3600825|-71.0588801
20|Philadelphia, PA|39.9525839|-75.1652215
21|Adelaide, SA|-34.9284989|138.6007456
22|Manchester, UK|53.4807593|-2.2426305
23|Swindon,|51.55577390000001|-1.7797176
24|Berkeley, CA|37.8715226|-122.273042
25|Concord, CA|37.9779776|-122.0310733
26|Aarhus, DK|56.162939|10.203921
27|Eugene, OR|44.0520691|-123.0867536
28|Portland, ME|43.6590993|-70.2568189
29|Montclair, NJ|40.8259007|-74.2090053
30|Nashville,TN|36.1626638|-86.7816016
31|Minneapolis, MN|44.977753|-93.2650108
32|Gettysburg, PA|39.8309293|-77.2310955
33|Sydney, NSW|-33.8688197|151.2092955
34|Stockholm, Sweden|59.32932349999999|18.0685808
35|East Troy, WI|42.7852922|-88.40509600000001
36|London, UK|51.5073509|-0.1277583
37||33.791638|-84.389488
38|Bristol,|51.454513|-2.58791
39|Decorah, IA|43.30330559999999|-91.7857092
40|Gloucester,|42.6159285|-70.6619888
41|Glasgow, United Kingdom|55.864237|-4.251806
42|Birmingham, AL|33.5185892|-86.8103567
43|Albany, NY|42.6525793|-73.7562317
44|Bodø, Norway|67.28291850000001|14.4150774
45|Oxford,|51.7548164|-1.2543668
46|Edinburgh, United Kingdom|55.953252|-3.188267
47|St. Paul, MN|44.9537029|-93.0899578
48|Kansas City, MO|39.0997265|-94.5785667
49|Los Angeles, CA|34.0522342|-118.2436849
50|Amsterdam, Netherlands|52.3666969|4.8945398
51|Portland, OR|45.5051064|-122.6750261
52|Cambridge, MA|42.3736158|-71.10973349999999
53|St Paul, MN |44.9537029|-93.0899578
54|Sacramento, CA|38.5815719|-121.4943996
55|Lincoln,|40.813616|-96.7025955
